30052	5	22	copper(0)	63.54600	2.75	['elemental copper', 'copper molecular entity', 'copper group molecular entity', 'd-block molecular entity', 'transition element molecular entity', 'transition element molecular entity', 'molecular entity', 'molecular entity', 'chemical entity', 'chemical entity']
40910	3	19	azide anion	42.02022	-0.293	['pseudohalide anion', 'polyatomic monoanion', 'monoanion', 'polyatomic anion', 'anion', 'polyatomic ion', 'ion', 'polyatomic entity', 'molecular entity', 'chemical entity']
59963	1	5	methylglyoxal-lysine dimer	341.42590	-4.05	['imidazolium ion', 'L-lysine derivative', 'non-proteinogenic L-alpha-amino acid', 'organic cation', 'lysine derivative', 'proteinogenic amino acid derivative', 'L-alpha-amino acid', 'non-proteinogenic alpha-amino acid', 'organic ion', 'cation', 'amino acid derivative', 'alpha-amino acid', 'non-proteinogenic amino acid', 'organic molecular entity', 'ion', 'organonitrogen compound', 'amino acid', 'carbon group molecular entity', 'molecular entity', 'heteroorganic entity', 'nitrogen molecular entity', 'organic amino compound', 'carboxylic acid', 'p-block molecular entity', 'chemical entity', 'organic molecular entity', 'pnictogen molecular entity', 'organonitrogen compound', 'carbonyl compound', 'carbon oxoacid', 'organic acid', 'main group molecular entity', 'carbon group molecular entity', 'p-block molecular entity', 'heteroorganic entity', 'nitrogen molecular entity', 'organic oxo compound', 'organooxygen compound', 'oxoacid', 'organic molecular entity', 'molecular entity', 'p-block molecular entity', 'main group molecular entity', 'organic molecular entity', 'pnictogen molecular entity', 'organic molecule', 'organochalcogen compound', 'oxygen molecular entity', 'hydroxides', 'carbon group molecular entity', 'chemical entity', 'main group molecular entity', 'molecular entity', 'carbon group molecular entity', 'p-block molecular entity', 'organic molecular entity', 'molecule', 'heteroorganic entity', 'chalcogen molecular entity', 'oxygen molecular entity', 'hydrogen molecular entity', 'heteroatomic molecular entity', 'molecular entity', 'chemical entity', 'p-block molecular entity', 'main group molecular entity', 'carbon group molecular entity', 'polyatomic entity', 'organic molecular entity', 'chalcogen molecular entity', 's-block molecular entity', 'chemical entity', 'main group molecular entity', 'molecular entity', 'p-block molecular entity', 'carbon group molecular entity', 'molecular entity', 'chemical entity', 'main group molecular entity', 'p-block molecular entity', 'chemical entity', 'molecular entity', 'main group molecular entity', 'chemical entity', 'molecular entity', 'chemical entity']
37136	11	67	barium(2+)	137.32700	-3.3	['barium cation', 'divalent metal cation', 'monoatomic dication', 'alkaline earth cation', 'barium ion', 'metal cation', 'divalent inorganic cation', 'monoatomic cation', 'metal cation', 'alkaline earth molecular entity', 'elemental barium', 'monoatomic cation', 'inorganic cation', 'monoatomic ion', 'cation', 'monoatomic cation', 'inorganic cation', 's-block molecular entity', 'barium molecular entity', 'monoatomic ion', 'cation', 'inorganic ion', 'ion', 'monoatomic entity', 'monoatomic ion', 'cation', 'inorganic ion', 'main group molecular entity', 'alkaline earth molecular entity', 'ion', 'monoatomic entity', 'inorganic molecular entity', 'molecular entity', 'elemental molecular entity', 'ion', 'monoatomic entity', 'inorganic molecular entity', 'molecular entity', 's-block molecular entity', 'elemental molecular entity', 'chemical entity', 'molecular entity', 'elemental molecular entity', 'chemical entity', 'main group molecular entity', 'chemical entity', 'molecular entity', 'chemical entity']
27899	35	174	cisplatin	300.04452	-1.49	['diamminedichloroplatinum', 'platinum coordination entity', 'platinum molecular entity', 'transition element coordination entity', 'nickel group molecular entity', 'coordination entity', 'transition element molecular entity', 'd-block molecular entity', 'transition element molecular entity', 'heteroatomic molecular entity', 'molecular entity', 'transition element molecular entity', 'molecular entity', 'polyatomic entity', 'chemical entity', 'molecular entity', 'chemical entity', 'chemical entity']
31355	6	36	carboplatin	371.25400	-1.79	['platinum coordination entity', 'platinum molecular entity', 'transition element coordination entity', 'nickel group molecular entity', 'coordination entity', 'transition element molecular entity', 'd-block molecular entity', 'transition element molecular entity', 'heteroatomic molecular entity', 'molecular entity', 'transition element molecular entity', 'molecular entity', 'polyatomic entity', 'chemical entity', 'molecular entity', 'chemical entity', 'chemical entity']
45863	41	215	paclitaxel	853.90618	3.11	['tetracyclic diterpenoid', 'taxane diterpenoid', 'diterpenoid', 'terpenoid', 'isoprenoid', 'lipid', 'organic molecular entity', 'organic molecular entity', 'carbon group molecular entity', 'carbon group molecular entity', 'p-block molecular entity', 'p-block molecular entity', 'main group molecular entity', 'main group molecular entity', 'molecular entity', 'molecular entity', 'chemical entity', 'chemical entity']
58359	2	11	L-glutamine zwitterion	146.14450	-3.61	['amino acid zwitterion', 'polar amino acid zwitterion', 'zwitterion', 'amino acid zwitterion', 'dipolar compound', 'zwitterion', 'organic molecule', 'dipolar compound', 'organic molecular entity', 'molecule', 'organic molecule', 'carbon group molecular entity', 'polyatomic entity', 'organic molecular entity', 'molecule', 'p-block molecular entity', 'molecular entity', 'carbon group molecular entity', 'polyatomic entity', 'main group molecular entity', 'chemical entity', 'p-block molecular entity', 'molecular entity', 'molecular entity', 'main group molecular entity', 'chemical entity', 'chemical entity', 'molecular entity', 'chemical entity']
17650	6	30	cortisol	362.45990	1.55	['21-hydroxy steroid', '11beta-hydroxy steroid', '20-oxo steroid', '3-oxo-Delta(4) steroid', 'primary alpha-hydroxy ketone', 'tertiary alpha-hydroxy ketone', '17alpha-hydroxy-C21-steroid', 'glucocorticoid', 'hydroxy steroid', '11-hydroxy steroid', 'oxo steroid', 'enone', '3-oxo steroid', 'alpha-hydroxy ketone', 'primary alcohol', 'tertiary alcohol', 'C21-steroid', '17alpha-hydroxy steroid', 'corticosteroid hormone', 'organic hydroxy compound', 'steroid', 'hydroxy steroid', 'ketone', 'alpha,beta-unsaturated ketone', 'olefinic compound', 'cyclic ketone', 'oxo steroid', 'alpha-oxyketone', 'alcohol', '17-hydroxy steroid', 'steroid hormone', 'corticosteroid', 'hydroxides', 'organic molecular entity', 'organic polycyclic compound', 'lipid', 'organic hydroxy compound', 'steroid', 'carbonyl compound', 'ketone', 'oxyketone', 'hydroxy steroid', 'oxygen molecular entity', 'hydrogen molecular entity', 'heteroatomic molecular entity', 'carbon group molecular entity', 'organic cyclic compound', 'polycyclic compound', 'organic molecular entity', 'hydroxides', 'organic polycyclic compound', 'lipid', 'organic oxo compound', 'organooxygen compound', 'carbonyl compound', 'ketone', 'organic hydroxy compound', 'steroid', 'chalcogen molecular entity', 's-block molecular entity', 'polyatomic entity', 'p-block molecular entity', 'organic molecule', 'cyclic compound', 'carbon group molecular entity', 'oxygen molecular entity', 'hydrogen molecular entity', 'heteroatomic molecular entity', 'organic cyclic compound', 'polycyclic compound', 'organic molecular entity', 'organochalcogen compound', 'organic oxo compound', 'organooxygen compound', 'carbonyl compound', 'hydroxides', 'organic polycyclic compound', 'lipid', 'p-block molecular entity', 'main group molecular entity', 'molecular entity', 'organic molecular entity', 'molecule', 'chalcogen molecular entity', 's-block molecular entity', 'polyatomic entity', 'organic molecule', 'cyclic compound', 'carbon group molecular entity', 'heteroorganic entity', 'organochalcogen compound', 'oxygen molecular entity', 'organic oxo compound', 'organooxygen compound', 'hydrogen molecular entity', 'heteroatomic molecular entity', 'organic cyclic compound', 'polycyclic compound', 'main group molecular entity', 'molecular entity', 'chemical entity', 'carbon group molecular entity', 'polyatomic entity', 'p-block molecular entity', 'organic molecular entity', 'molecule', 'heteroorganic entity', 'chalcogen molecular entity', 'organic molecule', 'organochalcogen compound', 'oxygen molecular entity', 's-block molecular entity', 'cyclic compound', 'molecular entity', 'chemical entity', 'p-block molecular entity', 'main group molecular entity', 'carbon group molecular entity', 'polyatomic entity', 'organic molecular entity', 'molecule', 'heteroorganic entity', 'chalcogen molecular entity', 'chemical entity', 'main group molecular entity', 'molecular entity', 'p-block molecular entity', 'carbon group molecular entity', 'polyatomic entity', 'organic molecular entity', 'molecular entity', 'chemical entity', 'main group molecular entity', 'p-block molecular entity', 'carbon group molecular entity', 'chemical entity', 'molecular entity', 'main group molecular entity', 'p-block molecular entity', 'chemical entity', 'molecular entity', 'main group molecular entity', 'chemical entity', 'molecular entity', 'chemical entity']
58007	19	72	streptomycin(3+)	584.59790	-1.87	['guanidinium ion', 'iminium ion', 'organic cation', 'organic ion', 'cation', 'organic molecular entity', 'ion', 'carbon group molecular entity', 'molecular entity', 'p-block molecular entity', 'chemical entity', 'main group molecular entity', 'molecular entity', 'chemical entity']
